date_t,date_t_plus_h,horizon,spearman_rho
1961-02-28 23:59:59.999999999,1961-04-30 23:59:59.999999999,1,0.9730769230769231
1961-04-30 23:59:59.999999999,1961-06-30 23:59:59.999999999,1,0.883076923076923
1961-06-30 23:59:59.999999999,1961-08-31 23:59:59.999999999,1,0.8046153846153845
1961-08-31 23:59:59.999999999,1961-10-31 23:59:59.999999999,1,0.8961538461538462
1961-10-31 23:59:59.999999999,1961-12-31 23:59:59.999999999,1,0.9900000000000001
1961-12-31 23:59:59.999999999,1962-01-31 23:59:59.999999999,1,0.9461538461538461
1962-01-31 23:59:59.999999999,1962-02-28 23:59:59.999999999,1,0.8961538461538462
1962-02-28 23:59:59.999999999,1962-04-30 23:59:59.999999999,1,0.9707692307692307
1962-04-30 23:59:59.999999999,1962-06-30 23:59:59.999999999,1,0.8423076923076923
1962-06-30 23:59:59.999999999,1962-08-31 23:59:59.999999999,1,0.9615384615384615
1962-08-31 23:59:59.999999999,1962-10-31 23:59:59.999999999,1,0.9738461538461539
1962-10-31 23:59:59.999999999,1962-12-31 23:59:59.999999999,1,0.9346153846153846
1962-12-31 23:59:59.999999999,1963-01-31 23:59:59.999999999,1,0.9815384615384616
1963-01-31 23:59:59.999999999,1963-03-31 23:59:59.999999999,1,0.976923076923077
1963-03-31 23:59:59.999999999,1963-05-31 23:59:59.999999999,1,0.9907692307692307
1963-05-31 23:59:59.999999999,1963-07-31 23:59:59.999999999,1,0.9884615384615385
1963-07-31 23:59:59.999999999,1963-08-31 23:59:59.999999999,1,0.8776923076923077
1963-08-31 23:59:59.999999999,1963-10-31 23:59:59.999999999,1,0.8284615384615385
1963-10-31 23:59:59.999999999,1963-11-30 23:59:59.999999999,1,0.936923076923077
1963-11-30 23:59:59.999999999,1964-01-31 23:59:59.999999999,1,0.9653846153846154
1964-01-31 23:59:59.999999999,1964-02-29 23:59:59.999999999,1,0.9692307692307693
1964-02-29 23:59:59.999999999,1964-04-30 23:59:59.999999999,1,0.9746153846153847
1964-04-30 23:59:59.999999999,1964-05-31 23:59:59.999999999,1,0.9553846153846154
1964-05-31 23:59:59.999999999,1964-07-31 23:59:59.999999999,1,0.9815384615384616
1964-07-31 23:59:59.999999999,1964-08-31 23:59:59.999999999,1,0.9646153846153847
1964-08-31 23:59:59.999999999,1964-10-31 23:59:59.999999999,1,0.9807692307692308
1964-10-31 23:59:59.999999999,1964-11-30 23:59:59.999999999,1,0.9653846153846154
1964-11-30 23:59:59.999999999,1965-01-31 23:59:59.999999999,1,0.9492307692307692
1965-01-31 23:59:59.999999999,1965-02-28 23:59:59.999999999,1,0.9
1965-02-28 23:59:59.999999999,1965-04-30 23:59:59.999999999,1,0.8530769230769231
1965-04-30 23:59:59.999999999,1965-05-31 23:59:59.999999999,1,0.9453846153846153
1965-05-31 23:59:59.999999999,1965-07-31 23:59:59.999999999,1,0.9515384615384614
1965-07-31 23:59:59.999999999,1965-08-31 23:59:59.999999999,1,0.9607692307692307
1965-08-31 23:59:59.999999999,1965-10-31 23:59:59.999999999,1,0.9353846153846154
1965-10-31 23:59:59.999999999,1965-11-30 23:59:59.999999999,1,0.8776923076923077
1965-11-30 23:59:59.999999999,1966-01-31 23:59:59.999999999,1,0.936923076923077
1966-01-31 23:59:59.999999999,1966-02-28 23:59:59.999999999,1,0.9615384615384615
1966-02-28 23:59:59.999999999,1966-04-30 23:59:59.999999999,1,0.9392307692307692
1966-04-30 23:59:59.999999999,1966-05-31 23:59:59.999999999,1,0.9138461538461539
1966-05-31 23:59:59.999999999,1966-07-31 23:59:59.999999999,1,0.9007692307692308
1966-07-31 23:59:59.999999999,1966-08-31 23:59:59.999999999,1,0.9815384615384616
1966-08-31 23:59:59.999999999,1966-10-31 23:59:59.999999999,1,0.9676923076923077
1966-10-31 23:59:59.999999999,1966-11-30 23:59:59.999999999,1,0.9415384615384615
1966-11-30 23:59:59.999999999,1967-01-31 23:59:59.999999999,1,0.93
1967-01-31 23:59:59.999999999,1967-02-28 23:59:59.999999999,1,0.9607692307692307
1967-02-28 23:59:59.999999999,1967-04-30 23:59:59.999999999,1,0.953076923076923
1967-04-30 23:59:59.999999999,1967-05-31 23:59:59.999999999,1,0.9476923076923076
1967-05-31 23:59:59.999999999,1967-07-31 23:59:59.999999999,1,0.9646153846153847
1967-07-31 23:59:59.999999999,1967-08-31 23:59:59.999999999,1,0.9746153846153847
1967-08-31 23:59:59.999999999,1967-10-31 23:59:59.999999999,1,0.9584615384615384
1967-10-31 23:59:59.999999999,1967-11-30 23:59:59.999999999,1,0.9746153846153847
1967-11-30 23:59:59.999999999,1968-01-31 23:59:59.999999999,1,0.96
1968-01-31 23:59:59.999999999,1968-02-29 23:59:59.999999999,1,0.9353846153846154
1968-02-29 23:59:59.999999999,1968-04-30 23:59:59.999999999,1,0.9346153846153846
1968-04-30 23:59:59.999999999,1968-05-31 23:59:59.999999999,1,0.966923076923077
1968-05-31 23:59:59.999999999,1968-07-31 23:59:59.999999999,1,0.9630769230769232
1968-07-31 23:59:59.999999999,1968-08-31 23:59:59.999999999,1,0.9553846153846154
1968-08-31 23:59:59.999999999,1968-10-31 23:59:59.999999999,1,0.9569230769230769
1968-10-31 23:59:59.999999999,1968-11-30 23:59:59.999999999,1,0.8861538461538463
1968-11-30 23:59:59.999999999,1969-01-31 23:59:59.999999999,1,0.85
1969-01-31 23:59:59.999999999,1969-02-28 23:59:59.999999999,1,0.9353846153846154
