portfolio,window_start,window_end,window_length,model_type,factor_model,AE,u_hat,convergence_status,message,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,rank,quintile
ME4 BM5,1958-07-31 23:59:59.999999,1968-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727654504944,0.00042732585407741257,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,299.9402891833074,-587.8805783666148,-571.1556279099226,0.019869283608371188,0.0005355733797471705,0.026954840964750558,20,2
ME4 BM5,1959-07-31 23:59:59.999999,1969-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727666209514,0.0004273246839122002,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,303.25440633465223,-594.5088126693045,-577.7838622126122,0.019327988757477897,0.0005355719191869853,0.02770965597647998,20,2
ME4 BM5,1960-07-31 23:59:59.999999,1970-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727643807268,0.0004273269248690538,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,302.3951576952501,-592.7903153905002,-576.0653649338079,0.019466961553130355,0.0005355747682704896,0.027511985720461204,20,1
ME4 BM5,1961-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727758292304,0.0004273154739804743,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,312.73837620131974,-613.4767524026395,-596.7518019459472,0.017859116194513434,0.0005355608251759861,0.029988092318953483,20,1
ME4 BM5,1962-07-31 23:59:59.999999,1972-06-30 23:59:59.999999,120,half_normal,ff3,0.999572770624058,0.0004273206802158215,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,308.38979014488507,-604.7795802897701,-588.0546298330779,0.018518131171551974,0.0005355670843875661,0.02892122749461446,20,1
ME4 BM5,1963-07-31 23:59:59.999999,1973-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727699947113,0.0004273213096147461,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,307.5794882556203,-603.1589765112406,-586.4340260545483,0.01864347970295318,0.0005355678939683691,0.028726820448842158,20,2
ME4 BM5,1964-07-31 23:59:59.999999,1974-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727678521545,0.00042732345255275863,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,305.41499714463595,-598.8299942892719,-582.1050438325797,0.01898315197170705,0.0005355703465684457,0.028212930464164895,20,2
ME4 BM5,1965-07-31 23:59:59.999999,1975-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727675477011,0.0004273237569835429,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,304.76830436884325,-597.5366087376865,-580.8116582809943,0.01908569983603105,0.0005355709184640327,0.02806137176342635,20,2
ME4 BM5,1966-07-31 23:59:59.999999,1976-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727611272265,0.0004273301786690123,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,298.4021003670522,-584.8042007341044,-568.0792502774121,0.020126807764624142,0.0005355789778146127,0.026610229703488916,20,2
ME4 BM5,1967-07-31 23:59:59.999999,1977-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727603085245,0.0004273309973877118,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,296.9721378928566,-581.9442757857132,-565.219325329021,0.020369094685106323,0.0005355802023598858,0.0262937656601644,20,2
