portfolio,window_start,window_end,window_length,model_type,factor_model,AE,u_hat,convergence_status,message,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,rank,quintile,sensitivity_window
ME2 BM4,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9998087783612614,0.00019123992487083427,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,166.19485150326122,-320.38970300652244,-307.82363563318984,0.01516007667701679,0.00023968384285430548,0.015810199906025186,,,60
ME2 BM4,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.9993316057274791,0.0006686179648755599,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,179.2374185332698,-346.4748370665396,-333.908769693207,0.012190036611031223,0.00083800721338631,0.06874525812563727,,,60
ME2 BM4,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9863488441116584,0.013781937532949784,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,174.4393199029968,-336.8786398059936,-324.312572432661,0.008448175816027281,0.01742663342272953,2.0627687920117563,23,1,60
ME2 BM5,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9791517631209813,0.021156083824956203,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,153.23418860880454,-294.4683772176091,-281.9023098442765,0.01097175383764908,0.026432236931735045,2.40911683973751,13,2,60
ME2 BM5,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9997173564797133,0.00028268347868856626,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180.18848390473306,-348.3769678094661,-335.8109004361335,0.012006915245111023,0.0003542915156880216,0.029507288796119555,,,60
ME2 BM5,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9998702683897497,0.0001297400265112002,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,186.0471737028345,-360.094347405669,-347.5282800323364,0.010893191226429203,0.00016260505154637423,0.01492721904595411,5,4,60
ME2 BM5,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.999870266360551,0.00012974205583227445,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,172.50135790806036,-333.0027158161207,-320.4366484427881,0.013650363363418771,0.00016260755503326866,0.01191232428794065,5,4,60
ME2 BM5,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9998702683987434,0.00012974001757219683,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,189.82425534778594,-367.6485106955719,-355.08244332223927,0.010227006201079495,0.0001626049909929404,0.01589956902302229,5,4,60
ME2 BM5,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9998702690505794,0.00012973936569517306,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,193.02097293657593,-374.04194587315186,-361.47587849981926,0.009696387521954047,0.0001626041749420175,0.016769562331730013,5,4,60
ME2 BM5,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9998702628041858,0.00012974561262498903,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,168.00249959763858,-324.00499919527715,-311.43893182194455,0.014713231775764021,0.00016261201084021503,0.011052093334659034,6,4,60
ME2 BM5,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.9998702640643956,0.00012974435235106193,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,179.57056548292573,-347.14113096585146,-334.57506359251886,0.012133113104475065,0.00016261043764915654,0.013402202406666827,6,4,60
